page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,col_0,Ketersediaan,col_2,Ketersediaan dokter gigi,Besaran Tarif
6,226.9,190.0,524.5,531.5,-6- Pasal 6 Ketentuan mengenai besaran tarif berdasarkan ketersediaan dokter atau rasio dokter dengan jumlah peserta terdaftar dan/atau ketersediaan dokter gigi sebagaimana dimaksud dalam Pasal 5 ayat (4) ditetapkan sebagai berikut: bagi puskesmas:,,,,,,dokter atau,,,
6,226.9,190.0,524.5,531.5,-6- Pasal 6 Ketentuan mengenai besaran tarif berdasarkan ketersediaan dokter atau rasio dokter dengan jumlah peserta terdaftar dan/atau ketersediaan dokter gigi sebagaimana dimaksud dalam Pasal 5 ayat (4) ditetapkan sebagai berikut: bagi puskesmas:,,,,,,rasio dokter,,,
6,226.9,190.0,524.5,531.5,-6- Pasal 6 Ketentuan mengenai besaran tarif berdasarkan ketersediaan dokter atau rasio dokter dengan jumlah peserta terdaftar dan/atau ketersediaan dokter gigi sebagaimana dimaksud dalam Pasal 5 ayat (4) ditetapkan sebagai berikut: bagi puskesmas:,,,,,,terhadap,,,
6,226.9,190.0,524.5,531.5,-6- Pasal 6 Ketentuan mengenai besaran tarif berdasarkan ketersediaan dokter atau rasio dokter dengan jumlah peserta terdaftar dan/atau ketersediaan dokter gigi sebagaimana dimaksud dalam Pasal 5 ayat (4) ditetapkan sebagai berikut: bagi puskesmas:,,,,,,jumlah peserta,,,
6,226.9,190.0,524.5,531.5,-6- Pasal 6 Ketentuan mengenai besaran tarif berdasarkan ketersediaan dokter atau rasio dokter dengan jumlah peserta terdaftar dan/atau ketersediaan dokter gigi sebagaimana dimaksud dalam Pasal 5 ayat (4) ditetapkan sebagai berikut: bagi puskesmas:,,,,,Tersedia dokter dengan rasio 1:≤5000,,,Tersedia dokter gigi,"Rp7.000,00 (tujuh ribu rupiah)"
6,226.9,190.0,524.5,531.5,-6- Pasal 6 Ketentuan mengenai besaran tarif berdasarkan ketersediaan dokter atau rasio dokter dengan jumlah peserta terdaftar dan/atau ketersediaan dokter gigi sebagaimana dimaksud dalam Pasal 5 ayat (4) ditetapkan sebagai berikut: bagi puskesmas:,,,,,Tersedia dokter dengan rasio 1:≤5000,,,Tidak tersedia dokter gigi,"Rp6.300,00 (enam ribu tiga ratus rupiah)"
6,226.9,190.0,524.5,531.5,-6- Pasal 6 Ketentuan mengenai besaran tarif berdasarkan ketersediaan dokter atau rasio dokter dengan jumlah peserta terdaftar dan/atau ketersediaan dokter gigi sebagaimana dimaksud dalam Pasal 5 ayat (4) ditetapkan sebagai berikut: bagi puskesmas:,,,,,Tersedia dokter dengan rasio 1:>5000,,,Tersedia dokter gigi,"Rp6.000,00 (enam ribu rupiah)"
6,226.9,190.0,524.5,531.5,-6- Pasal 6 Ketentuan mengenai besaran tarif berdasarkan ketersediaan dokter atau rasio dokter dengan jumlah peserta terdaftar dan/atau ketersediaan dokter gigi sebagaimana dimaksud dalam Pasal 5 ayat (4) ditetapkan sebagai berikut: bagi puskesmas:,,,,,Tersedia dokter dengan rasio 1:>5000,,,Tidak tersedia dokter gigi,"Rp5.300,00 (lima ribu tiga ratus rupiah)"
6,226.9,190.0,524.5,531.5,-6- Pasal 6 Ketentuan mengenai besaran tarif berdasarkan ketersediaan dokter atau rasio dokter dengan jumlah peserta terdaftar dan/atau ketersediaan dokter gigi sebagaimana dimaksud dalam Pasal 5 ayat (4) ditetapkan sebagai berikut: bagi puskesmas:,,,,,Tidak tersedia dokter,,,Tersedia dokter gigi,"Rp4.300,00 (empat ribu tiga ratus rupiah)"
6,226.9,190.0,524.5,531.5,-6- Pasal 6 Ketentuan mengenai besaran tarif berdasarkan ketersediaan dokter atau rasio dokter dengan jumlah peserta terdaftar dan/atau ketersediaan dokter gigi sebagaimana dimaksud dalam Pasal 5 ayat (4) ditetapkan sebagai berikut: bagi puskesmas:,,,,,Tidak tersedia dokter,,,Tidak tersedia dokter gigi,"Rp3.600,00 (tiga ribu enam ratus rupiah)"
